,Area,address,bath,bed,city,price
0,"5,635sq.ft",4Summit,4baths,5beds,IrvineCA92603,"$4,295,000"
1,"2,890sq.ft",59QuarterHorse,4baths,4beds,IrvineCA92602,"$1,550,000"
2,"1,807sq.ft",7PaineCircle,2baths,4beds,IrvineCA92614,"$899,000"
3,"1,038sq.ft",2164Scholarship,2baths,2beds,IrvineCA92612,"$485,000"
4,"1,038sq.ft",2164Scholarship,2baths,2beds,IrvineCA92612,"$485,000"
5,,25NewDawn,5baths,5beds,IrvineCA92620,"$2,199,888"
6,"3,597sq.ft",111Retreat,4baths,5beds,IrvineCA92603,"$1,978,888"
7,"2,858sq.ft",64Statuary,3baths,4beds,IrvineCA92620,"$1,399,999"
8,"2,574sq.ft",11Wickland,3baths,4beds,IrvineCA92620,"$1,298,000"
9,"2,086sq.ft",16Eden,2baths,4beds,IrvineCA92620,"$889,000"
10,"1,675sq.ft",33PathSacred,2baths,3beds,IrvineCA92618,"$765,000"
11,"1,424sq.ft",4Potomac,2baths,3beds,IrvineCA92620,"$749,000"
12,,115Treasure,6baths,6beds,IrvineCA92602,"$3,888,800"
13,"3,698sq.ft",110Retreat,4baths,6beds,IrvineCA92603,"$2,188,000"
14,"3,597sq.ft",111Retreat,4baths,5beds,IrvineCA92603,"$1,978,888"
15,"1,052sq.ft",607Springbrook#60Unit60,2baths,2beds,IrvineCA92614,"$524,900"
16,"2,680sq.ft",41EYALELoop22,3baths,4beds,IrvineCA92604,"$999,888"
17,"1,704sq.ft",38CanyonRidge2,2baths,3beds,IrvineCA92603,"$975,000"
18,"1,936sq.ft",58Pembroke,2baths,3beds,IrvineCA92618,"$899,000"
19,"2,100sq.ft",38BellChime2,2baths,3beds,IrvineCA92618,"$798,000"
20,"5,635sq.ft",4Summit,4baths,5beds,IrvineCA92603,"$4,295,000"
21,"2,890sq.ft",59QuarterHorse,4baths,4beds,IrvineCA92602,"$1,550,000"
22,"1,807sq.ft",7PaineCircle,2baths,4beds,IrvineCA92614,"$899,000"
23,"1,038sq.ft",2164Scholarship,2baths,2beds,IrvineCA92612,"$485,000"
24,"1,038sq.ft",2164Scholarship,2baths,2beds,IrvineCA92612,"$485,000"
25,,25NewDawn,5baths,5beds,IrvineCA92620,"$2,199,888"
26,"3,597sq.ft",111Retreat,4baths,5beds,IrvineCA92603,"$1,978,888"
27,"2,858sq.ft",64Statuary,3baths,4beds,IrvineCA92620,"$1,399,999"
28,"2,574sq.ft",11Wickland,3baths,4beds,IrvineCA92620,"$1,298,000"
29,"2,086sq.ft",16Eden,2baths,4beds,IrvineCA92620,"$889,000"
30,"1,675sq.ft",33PathSacred,2baths,3beds,IrvineCA92618,"$765,000"
31,"1,424sq.ft",4Potomac,2baths,3beds,IrvineCA92620,"$749,000"
32,,115Treasure,6baths,6beds,IrvineCA92602,"$3,888,800"
33,"3,698sq.ft",110Retreat,4baths,6beds,IrvineCA92603,"$2,188,000"
34,"3,597sq.ft",111Retreat,4baths,5beds,IrvineCA92603,"$1,978,888"
35,"1,052sq.ft",607Springbrook#60Unit60,2baths,2beds,IrvineCA92614,"$524,900"
36,"2,680sq.ft",41EYALELoop22,3baths,4beds,IrvineCA92604,"$999,888"
37,"1,704sq.ft",38CanyonRidge2,2baths,3beds,IrvineCA92603,"$975,000"
38,"1,936sq.ft",58Pembroke,2baths,3beds,IrvineCA92618,"$899,000"
39,"2,100sq.ft",38BellChime2,2baths,3beds,IrvineCA92618,"$798,000"
40,,14862MaytenAvenue,2baths,4beds,IrvineCA92606,"$899,000"
41,"1,183sq.ft",206CoralRose,2baths,2beds,IrvineCA92603,"$599,000"
42,"1,482sq.ft",3272WatermarkePl,2baths,2beds,IrvineCA92612,"$568,000"
43,"1,533sq.ft",16Gingerwood,2baths,2beds,IrvineCA92603,"$739,900"
44,"1,129sq.ft",100Mayfair,1bath,2beds,IrvineCA92620,"$569,000"
45,"1,267sq.ft",402Timberwood,2baths,2beds,IrvineCA92620,"$565,000"
46,473sq.ft,388OrangeBlossom128,1bath,1bed,IrvineCA92618,"$315,000"
47,,5Ironwood,2baths,3beds,IrvineCA92604,"$739,000"
48,"2,673sq.ft",28Palmatum,2baths,4beds,IrvineCA92620,"$1,149,000"
49,"2,673sq.ft",28Palmatum,2baths,4beds,IrvineCA92620,"$1,149,000"
50,"1,974sq.ft",8Recodo,2baths,4beds,IrvineCA92620,"$988,888"
51,"1,974sq.ft",8Recodo,2baths,4beds,IrvineCA92620,"$988,888"
52,"1,532sq.ft",320QuailRidge,2baths,2beds,IrvineCA92603,"$589,900"
53,,4892BarkwoodAve,2baths,3beds,IrvineCA92604,"$745,000"
54,"9,923sq.ft",25NeedleGrass,7baths,7beds,IrvineCA92603,"$7,995,000"
55,"2,385sq.ft",3112Scholarship,3baths,3beds,IrvineCA92612,"$1,899,000"
56,"1,839sq.ft",7Alejo64,2baths,2beds,IrvineCA92612,"$960,000"
57,"2,152sq.ft",170Intrigue,3baths,3beds,IrvineCA92620,"$918,000"
58,"1,810sq.ft",58Arcata,3baths,4beds,IrvineCA92602,"$799,900"
59,"1,450sq.ft",58Vermillion,2baths,3beds,IrvineCA92603,"$698,000"
60,"1,616sq.ft",76Lakeview,2baths,2beds,IrvineCA92604,"$775,000"
61,"1,297sq.ft",76RoseArch,2baths,2beds,IrvineCA92620,"$598,900"
62,"1,297sq.ft",76RoseArch,2baths,2beds,IrvineCA92620,"$598,900"
63,"1,269sq.ft",2233Martin303,2baths,2beds,IrvineCA92612,"$540,000"
64,"3,029sq.ft",4Ticonderoga,3baths,4beds,IrvineCA92620,"$1,198,000"
